id,ZT,values,type,code_id,outlier_mean,outlier_IQR,outlier_mad,outlier_any,outlier_all,outlier_all_no_mean,outlier_any_no_mean
1,ZT1,1640136,neutros_total,1-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT5,1808502,neutros_total,1-ZT5-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT13,216158.9,neutros_total,1-ZT13-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT19,400192.4,neutros_total,1-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT1,1226093,neutros_total,2-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT5,7062300,neutros_total,2-ZT5-neutros_total,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2,ZT13,73020.13,neutros_total,2-ZT13-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT19,576633.7,neutros_total,2-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT1,1247010,neutros_total,3-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT5,8498270,neutros_total,3-ZT5-neutros_total,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3,ZT13,1318658,neutros_total,3-ZT13-neutros_total,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3,ZT19,668996.8,neutros_total,3-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT1,1229761,neutros_total,4-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT5,1564444,neutros_total,4-ZT5-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT13,4271947,neutros_total,4-ZT13-neutros_total,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
4,ZT19,1479604,neutros_total,4-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT1,1129931,neutros_total,5-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT5,1386667,neutros_total,5-ZT5-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT13,388495,neutros_total,5-ZT13-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT19,605446.7,neutros_total,5-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT1,1334101,neutros_total,6-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT5,1794930,neutros_total,6-ZT5-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT13,329320.4,neutros_total,6-ZT13-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT19,182857.1,neutros_total,6-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT1,1478700,neutros_total,7-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT5,1308986,neutros_total,7-ZT5-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT13,3576123,neutros_total,7-ZT13-neutros_total,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
7,ZT19,149189.2,neutros_total,7-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT1,1554444,neutros_total,8-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT5,1445125,neutros_total,8-ZT5-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT13,3286575,neutros_total,8-ZT13-neutros_total,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
8,ZT19,1301333,neutros_total,8-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT1,1116620,neutros_total,9-ZT1-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT5,1244045,neutros_total,9-ZT5-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT13,225454.5,neutros_total,9-ZT13-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT19,345569,neutros_total,9-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT1,3425271,neutros_total,10-ZT1-neutros_total,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,ZT5,1336812,neutros_total,10-ZT5-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT13,185263.2,neutros_total,10-ZT13-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT19,2413289,neutros_total,10-ZT19-neutros_total,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,ZT13,229174.9,neutros_total,11-ZT13-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT19,951466.7,neutros_total,11-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,ZT19,921558.4,neutros_total,12-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,ZT19,552918,neutros_total,13-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,ZT19,742819.7,neutros_total,14-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,ZT19,77974.2,neutros_total,15-ZT19-neutros_total,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT1,143186.4,aged,1-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT5,75818.82,aged,1-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT13,49801.32,aged,1-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT19,110822.5,aged,1-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT1,69964.16,aged,2-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT5,774912.9,aged,2-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT13,7516.779,aged,2-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT19,79207.92,aged,2-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT1,62680.41,aged,3-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT5,1477093,aged,3-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT13,477852.3,aged,3-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT19,77669.9,aged,3-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT1,58976.11,aged,4-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT5,92222.22,aged,4-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT13,1821782,aged,4-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
4,ZT19,245333.3,aged,4-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT1,141241.4,aged,5-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT5,92070.18,aged,5-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT13,58862.88,aged,5-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT19,43389.83,aged,5-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT13,38317.15,aged,6-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT19,236567.7,aged,6-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT1,101295,aged,7-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT5,90140.85,aged,7-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT13,1300677,aged,7-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
7,ZT19,67271.86,aged,7-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT1,71624.55,aged,8-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT5,60289.86,aged,8-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT13,1041096,aged,8-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
8,ZT19,31098.15,aged,8-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT1,53333.33,aged,9-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT5,74021.35,aged,9-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT13,11428.57,aged,9-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT19,9729.73,aged,9-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT1,68732.39,aged,10-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT5,46741.57,aged,10-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT13,36842.11,aged,10-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT19,534750.8,aged,10-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT1,130541.5,aged,11-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT5,45217.39,aged,11-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT13,45412.54,aged,11-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT19,170666.7,aged,11-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,ZT19,192207.8,aged,12-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,ZT19,139541,aged,13-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,ZT19,73442.62,aged,14-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,ZT19,13760.15,aged,15-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT1,1494780,aged,1-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT5,1721533,aged,1-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT13,160000,aged,1-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT19,270899.5,aged,1-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT1,1148100,aged,2-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT5,6211568,aged,2-ZT5-aged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,ZT13,65503.36,aged,2-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT19,472079.2,aged,2-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT1,1173333,aged,3-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT5,6930381,aged,3-ZT5-aged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,ZT13,828993.3,aged,3-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3,ZT19,571650.5,aged,3-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT1,1165324,aged,4-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT5,1456667,aged,4-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT13,2330825,aged,4-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
4,ZT19,1025067,aged,4-ZT19-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
5,ZT1,983172.4,aged,5-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT5,1286737,aged,5-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT13,327491.6,aged,5-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT19,297530.3,aged,5-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT13,283754,aged,6-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT19,1236700,aged,6-ZT19-aged,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
7,ZT1,1217842,aged,7-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT5,1690141,aged,7-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT13,2216369,aged,7-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
7,ZT19,522885.8,aged,7-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT1,1395523,aged,8-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT5,1238261,aged,8-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT13,2172055,aged,8-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
8,ZT19,228571.4,aged,8-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT1,1488889,aged,9-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT5,1351744,aged,9-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT13,206753.2,aged,9-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT19,139459.5,aged,9-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT1,1036620,aged,10-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT5,1187715,aged,10-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT13,140000,aged,10-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT19,1778605,aged,10-ZT19-aged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,ZT1,3273935,aged,11-ZT1-aged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,ZT5,1270725,aged,11-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT13,176369.6,aged,11-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,ZT19,748800,aged,11-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,ZT19,726233.8,aged,12-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,ZT19,401836.1,aged,13-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,ZT19,646295.1,aged,14-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,ZT19,61156.24,aged,15-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
